point,era,event_class,first_fired_at,last_active_at,max_severity,max_confidence,fired_conditions
mapai,modern,flash_flood,2016-03-09 10:00:00,2016-03-09 14:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2016-03-09 10:00:00,2016-03-09 13:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2016-12-12 02:00:00,2016-12-12 12:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2016-12-12 03:00:00,2016-12-12 08:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flood,2016-12-12 03:00:00,2016-12-13 02:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
mapai,modern,flash_flood,2017-01-08 03:00:00,2017-01-08 09:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2017-01-08 03:00:00,2017-01-08 16:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flash_flood,2017-01-08 06:00:00,2017-01-08 17:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
musina,modern,flash_flood,2017-01-08 08:00:00,2017-01-08 16:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2017-01-16 00:00:00,2017-01-16 09:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2017-01-16 01:00:00,2017-01-16 20:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,modern,flash_flood,2017-01-16 10:00:00,2017-01-16 16:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2017-01-16 10:00:00,2017-01-16 16:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flood,2017-01-16 22:00:00,2017-01-17 21:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
xai_xai,modern,destructive_wind,2017-02-15 20:00:00,2017-02-16 05:00:00,severe,1.0,gust_high|moist|mslp_fall|wspd_high
mapai,modern,flash_flood,2017-02-16 12:00:00,2017-02-17 15:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2017-02-16 15:00:00,2017-02-17 13:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2017-02-16 17:00:00,2017-02-17 13:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,modern,flood,2017-02-16 19:00:00,2017-02-17 21:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
thohoyandou,modern,flash_flood,2017-02-17 01:00:00,2017-02-18 01:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
musina,modern,flash_flood,2017-02-17 05:00:00,2017-02-17 19:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
